Product name in Flipkart,Retail Price in Flipkart,Discounted Price in Flipkart,Product name in Amazon,Retail Price in Amazon,Discounted Price in Amazon
"DISNEY DW100230 DIGITAL WATCH  - FOR BOYS, GIRLS",350.0,350.0,"DISNEY DW100230 DIGITAL WATCH  - FOR BOYS, GIRLS",342,386
SALT N PEPPER 13-167 MARSHA RED BOOTS,3695.0,2771.0,SALT N PEPPER 13-167 MARSHA RED BOOTS,3692,3441
"CARTIER W6701005 ANALOG WATCH  - FOR BOYS, MEN",201000.0,201000.0,"CARTIER W6701005 ANALOG WATCH  - FOR BOYS, MEN",200990,246928
BRUNO MANETTI CANNELITA BOOTS,3399.0,1359.0,BRUNO MANETTI CANNELITA BOOTS,3394,1564
STYLISTRY MAXIS SHDE6603BRWOBOOT3104 BOOTS,2199.0,1599.0,STYLISTRY MAXIS SHDE6603BRWOBOOT3104 BOOTS,2185,1785
"LOIS CARON LCS-4032 ANALOG WATCH  - FOR BOYS, MEN",1200.0,399.0,"LOIS CARON LCS-4032 ANALOG WATCH  - FOR BOYS, MEN",1181,444
"FELIX Y 39 ANALOG WATCH  - FOR BOYS, MEN",1550.0,525.0,"FELIX Y 39 ANALOG WATCH  - FOR BOYS, MEN",1536,602
KIELZ BOOTS,2999.0,2399.0,KIELZ BOOTS,2987,2706
KIELZ LADIES BOOTS,2299.0,899.0,KIELZ LADIES BOOTS,2295,1116
SAKAY COUNTRY LEATHER BOOTS,3999.0,3499.0,SAKAY COUNTRY LEATHER BOOTS,3980,3877
LA BRIZA BLACK BOOTS,2299.0,2069.0,LA BRIZA BLACK BOOTS,2282,2385
"KOOL KIDZ DMK-012-QU02 ANALOG WATCH  - FOR GIRLS, BOYS",375.0,263.0,"KOOL KIDZ DMK-012-QU02 ANALOG WATCH  - FOR GIRLS, BOYS",362,324
"FRANCK BELLA FB0128B ANALOG WATCH  - FOR MEN, BOYS",1199.0,959.0,"FRANCK BELLA FB0128B ANALOG WATCH  - FOR MEN, BOYS",1180,1229
STEPPINGS TRENDY BOOTS,2199.0,1099.0,STEPPINGS TRENDY BOOTS,2198,1415
"KOOL KIDZ DMK-003-YL 03 ANALOG WATCH  - FOR GIRLS, BOYS",475.0,333.0,"KOOL KIDZ DMK-003-YL 03 ANALOG WATCH  - FOR GIRLS, BOYS",466,368
"VIZION 8502-6BLACK SPORTS SERIES DIGITAL WATCH  - FOR BOYS, GIRLS",1095.0,595.0,"VIZION 8502-6BLACK SPORTS SERIES DIGITAL WATCH  - FOR BOYS, GIRLS",1083,739
VENCER STELLA 7LYT1011 DIGITAL WATCH  - FOR BOYS,399.0,144.0,VENCER STELLA 7LYT1011 DIGITAL WATCH  - FOR BOYS,381,178
LA BRIZA MILE BOOTS,3999.0,3999.0,LA BRIZA MILE BOOTS,3998,4701
"CASELA CAS-W-13 BASIC ANALOG WATCH  - FOR BOYS, GIRLS",3999.0,899.0,"CASELA CAS-W-13 BASIC ANALOG WATCH  - FOR BOYS, GIRLS",3979,1064
SNEHA UNIQUE BOOTS,1799.0,899.0,SNEHA UNIQUE BOOTS,1794,1026
TIMER TC_-_690143 ANALOG WATCH  - FOR BOYS,1299.0,549.0,TIMER TC_-_690143 ANALOG WATCH  - FOR BOYS,1287,707
NE REGULAR FIT MEN'S JEANS,4999.0,1899.0,NE REGULAR FIT MEN'S JEANS,4988,2180
SHUZ TOUCH BOOTS,2995.0,2995.0,SHUZ TOUCH BOOTS,2989,3434
KIELZ LADIES BOOTS,2499.0,1149.0,KIELZ LADIES BOOTS,2492,1393
"COLAT COLAT_M08 ROMAN NUMERALS ANALOG WATCH  - FOR MEN, BOYS",4999.0,1049.0,"COLAT COLAT_M08 ROMAN NUMERALS ANALOG WATCH  - FOR MEN, BOYS",4991,1287
KIELZ LADIES BOOTS,2299.0,899.0,KIELZ LADIES BOOTS,2287,1067
BELLE GAMBE BOOTS,3999.0,1695.0,BELLE GAMBE BOOTS,3988,2169
"TITAN 1639SL03 ANALOG WATCH  - FOR BOYS, MEN",1795.0,1695.0,"TITAN 1639SL03 ANALOG WATCH  - FOR BOYS, MEN",1783,2169
SELFIE BOOTS,1200.0,599.0,SELFIE BOOTS,1191,773
CLINCHER SEMONDAY BOOTS,3499.0,3499.0,CLINCHER SEMONDAY BOOTS,3497,4157
"SRUSHTI ART JEWELRY MEGNET_LED_SPORT_BLACKRED1 DIGITAL WATCH  - FOR MEN, WOMEN, BOYS, GIRLS",799.0,200.0,"SRUSHTI ART JEWELRY MEGNET_LED_SPORT_BLACKRED1 DIGITAL WATCH  - FOR MEN, WOMEN, BOYS, GIRLS",790,233
KIELZ LADIES BOOTS,2499.0,1149.0,KIELZ LADIES BOOTS,2485,1446
"Q&Q VQ13-008 ANALOG WATCH  - FOR GIRLS, BOYS",585.0,526.0,"Q&Q VQ13-008 ANALOG WATCH  - FOR GIRLS, BOYS",573,620
BELLE GAMBE BOOTS,3499.0,1765.0,BELLE GAMBE BOOTS,3495,2123
"ESCORT E-1700-906_BLK ANALOG WATCH  - FOR MEN, BOYS",1925.0,1829.0,"ESCORT E-1700-906_BLK ANALOG WATCH  - FOR MEN, BOYS",1919,2269
ROXY BOOTS,19995.0,9997.0,ROXY BOOTS,19979,12156
LEE MEN'S JEANS,2699.0,1619.0,LEE MEN'S JEANS,2681,2089
BRUNO MANETTI 676 BOOTS,2999.0,1199.0,BRUNO MANETTI 676 BOOTS,2979,1482
"ESTILO 1056 ANALOG WATCH  - FOR BOYS, MEN",1299.0,299.0,"ESTILO 1056 ANALOG WATCH  - FOR BOYS, MEN",1295,371
JACK KLEIN BLACKLED DIGITAL WATCH  - FOR BOYS,999.0,150.0,JACK KLEIN BLACKLED DIGITAL WATCH  - FOR BOYS,994,187
"NORTH MOON IW-005-FK SILICONE ION DIGITAL WATCH  - FOR BOYS, GIRLS, WOMEN",235.0,150.0,"NORTH MOON IW-005-FK SILICONE ION DIGITAL WATCH  - FOR BOYS, GIRLS, WOMEN",220,176
SHUZ TOUCH BOOTS,1499.0,1270.0,SHUZ TOUCH BOOTS,1484,1448
FOOT CANDY BOOTS,2899.0,1699.0,FOOT CANDY BOOTS,2887,2095
CREDOS BOOTS,4499.0,3499.0,CREDOS BOOTS,4496,4097
"RICH CLUB APPLE SHAPED LED DIGITAL WATCH  - FOR BOYS, GIRLS",999.0,149.0,"RICH CLUB APPLE SHAPED LED DIGITAL WATCH  - FOR BOYS, GIRLS",996,164
"SKMEI AD1031-BLACK FORMAL ANALOG-DIGITAL WATCH  - FOR MEN, BOYS",2499.0,1699.0,"SKMEI AD1031-BLACK FORMAL ANALOG-DIGITAL WATCH  - FOR MEN, BOYS",2489,2146
KIELZ LADIES BOOTS,2799.0,1299.0,KIELZ LADIES BOOTS,2792,1535
"KMS IRONMAN_LOOK_LED_BLACK11 DIGITAL WATCH  - FOR MEN, WOMEN, GIRLS, BOYS",1395.0,350.0,"KMS IRONMAN_LOOK_LED_BLACK11 DIGITAL WATCH  - FOR MEN, WOMEN, GIRLS, BOYS",1378,392
ANAND ARCHIES BOOTS,499.0,499.0,ANAND ARCHIES BOOTS,492,575
MAGNUM FOOTWEAR LIFESTYLE BOOTS,2999.0,1899.0,MAGNUM FOOTWEAR LIFESTYLE BOOTS,2992,2185
STEPPINGS TRENDY BOOTS,2199.0,1099.0,STEPPINGS TRENDY BOOTS,2185,1390
SWAG 670038 ANALOG WATCH  - FOR BOYS,2499.0,899.0,SWAG 670038 ANALOG WATCH  - FOR BOYS,2480,1126
BONZER BOOTS,999.0,499.0,BONZER BOOTS,987,582
ROADSTER SKINNY FIT FIT MEN'S JEANS,2499.0,1249.0,ROADSTER SKINNY FIT FIT MEN'S JEANS,2495,1414
SELFIE BLACK DENIM BOOTS,1000.0,499.0,SELFIE BLACK DENIM BOOTS,990,638
STEPPINGS BOOTS BOOTS,3199.0,2559.0,STEPPINGS BOOTS BOOTS,3193,2835
"Q&Q LLA2-213 DIGITAL WATCH  - FOR BOYS, GIRLS",645.0,645.0,"Q&Q LLA2-213 DIGITAL WATCH  - FOR BOYS, GIRLS",626,822
BELLE GAMBE WINTER BOOTS,3499.0,1695.0,BELLE GAMBE WINTER BOOTS,3498,1943
"HALA RED IN BLACK TRENDY DIGITAL DIGITAL WATCH  - FOR BOYS, GIRLS, MEN",399.0,159.0,"HALA RED IN BLACK TRENDY DIGITAL DIGITAL WATCH  - FOR BOYS, GIRLS, MEN",398,180
